Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
34,tt4016454,2019-10-10,2019-10-10,,Supergirl,https://www.imdb.com/title/tt4016454/,tvSeries,6.3,43,2015,"Action, Adventure, Drama, Sci-Fi",109613,2015-07-11,
35,tt0397442,2019-10-10,2019-10-10,,Gossip Girl,https://www.imdb.com/title/tt0397442/,tvSeries,7.4,42,2007,"Drama, Romance",151556,2007-09-19,
36,tt2431438,2019-10-10,2019-10-10,,Sense8,https://www.imdb.com/title/tt2431438/,tvSeries,8.3,60,2015,"Drama, Mystery, Sci-Fi, Thriller",137219,2015-06-05,
37,tt3749900,2019-10-10,2019-10-10,,Gotham,https://www.imdb.com/title/tt3749900/,tvSeries,7.8,42,2014,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",209816,2014-07-26,
38,tt0475784,2019-10-10,2019-10-10,,Westworld,https://www.imdb.com/title/tt0475784/,tvSeries,8.7,62,2016,"Drama, Mystery, Sci-Fi",419058,2016-09-30,
39,tt2357547,2019-10-10,2019-10-10,,Jessica Jones,https://www.imdb.com/title/tt2357547/,tvSeries,7.9,56,2015,"Action, Crime, Drama, Sci-Fi, Thriller",191098,2015-10-10,
40,tt1442437,2019-10-10,2019-10-10,,Modern Family,https://www.imdb.com/title/tt1442437/,tvSeries,8.4,22,2009,"Comedy, Drama, Romance",347570,2009-09-23,
41,tt2861424,2019-10-10,2019-10-10,,Rick and Morty,https://www.imdb.com/title/tt2861424/,tvSeries,9.2,23,2013,"Animation, Adventure, Comedy, Sci-Fi",363923,2013-12-02,
42,tt4145054,2019-10-10,2019-10-10,,Shadowhunters: The Mortal Instruments,https://www.imdb.com/title/tt4145054/,tvSeries,6.6,42,2016,"Action, Drama, Fantasy, Romance",51970,2016-01-12,
43,tt6257970,2019-10-10,2019-10-10,,The End of the F***ing World,https://www.imdb.com/title/tt6257970/,tvSeries,8.1,25,2017,"Adventure, Comedy, Crime, Drama, Romance, Thriller",140430,2017-10-24,
44,tt1856010,2019-10-10,2019-10-10,,House of Cards,https://www.imdb.com/title/tt1856010/,tvSeries,8.7,51,2013,Drama,461204,2013-02-01,
45,tt5753856,2019-10-10,2019-10-10,,Dark,https://www.imdb.com/title/tt5753856/,tvSeries,8.8,60,2017,"Crime, Drama, Mystery, Sci-Fi, Thriller",268605,2017-09-09,
46,tt7134908,2019-10-10,2019-10-10,,Élite,https://www.imdb.com/title/tt7134908/,tvSeries,7.6,60,2018,"Crime, Drama, Thriller",44764,2018-10-05,
47,tt7767422,2019-10-10,2019-10-10,,Sex Education,https://www.imdb.com/title/tt7767422/,tvSeries,8.3,45,2019,"Comedy, Drama",149592,2019-01-11,
48,tt1586680,2019-10-10,2019-10-10,,Shameless,https://www.imdb.com/title/tt1586680/,tvSeries,8.6,46,2011,"Comedy, Drama",197628,2011-01-09,
49,tt1826940,2019-10-10,2019-10-10,,New Girl,https://www.imdb.com/title/tt1826940/,tvSeries,7.7,22,2011,Comedy,187869,2011-09-20,
50,tt2364582,2019-10-10,2019-10-10,,Agents of S.H.I.E.L.D.,https://www.imdb.com/title/tt2364582/,tvSeries,7.5,45,2013,"Action, Adventure, Drama, Sci-Fi, Thriller",197222,2013-07-19,
51,tt7335184,2019-10-10,2019-10-10,,You,https://www.imdb.com/title/tt7335184/,tvSeries,7.8,45,2018,"Crime, Drama, Romance, Thriller",136614,2018-09-09,
52,tt0773262,2019-10-10,2019-10-10,,Dexter,https://www.imdb.com/title/tt0773262/,tvSeries,8.6,53,2006,"Crime, Drama, Mystery, Thriller",637730,2006-10-01,
53,tt3743822,2019-10-10,2019-10-10,,Fear the Walking Dead,https://www.imdb.com/title/tt3743822/,tvSeries,6.9,44,2015,"Drama, Horror, Sci-Fi, Thriller",110521,2015-08-13,
54,tt0182576,2019-10-10,2019-10-10,,Family Guy,https://www.imdb.com/title/tt0182576/,tvSeries,8.1,22,1999,"Animation, Comedy",301700,1999-01-31,
55,tt2741602,2019-10-10,2019-10-10,,The Blacklist,https://www.imdb.com/title/tt2741602/,tvSeries,8.0,43,2013,"Crime, Drama, Mystery, Thriller",191060,2013-09-23,
56,tt0411008,2019-10-10,2019-10-10,,Lost,https://www.imdb.com/title/tt0411008/,tvSeries,8.3,44,2004,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",489039,2004-09-22,
57,tt2442560,2019-10-10,2019-10-10,,Peaky Blinders,https://www.imdb.com/title/tt2442560/,tvSeries,8.8,60,2013,"Crime, Drama",326679,2013-09-12,
58,tt0412142,2019-10-10,2019-10-10,,House M.D.,https://www.imdb.com/title/tt0412142/,tvSeries,8.7,44,2004,"Drama, Mystery",409223,2004-11-16,
59,tt4428122,2019-10-10,2019-10-10,,Quantico,https://www.imdb.com/title/tt4428122/,tvSeries,6.7,42,2015,"Crime, Drama, Mystery, Thriller",56804,2015-09-27,
60,tt2234222,2019-10-10,2019-10-10,,Orphan Black,https://www.imdb.com/title/tt2234222/,tvSeries,8.3,44,2013,"Action, Drama, Sci-Fi",100061,2013-03-30,
61,tt1796960,2019-10-10,2019-10-10,,Homeland,https://www.imdb.com/title/tt1796960/,tvSeries,8.3,55,2011,"Crime, Drama, Mystery, Thriller",308318,2011-10-02,
62,tt4474344,2019-10-10,2019-10-10,,Blindspot,https://www.imdb.com/title/tt4474344/,tvSeries,7.4,42,2015,"Action, Crime, Drama, Mystery, Thriller",65902,2015-09-21,
63,tt4532368,2019-10-10,2019-10-10,,Legends of Tomorrow,https://www.imdb.com/title/tt4532368/,tvSeries,6.8,42,2016,"Action, Adventure, Drama, Sci-Fi",90673,2016-01-21,
64,tt5834204,2019-10-10,2019-10-10,,The Handmaid's Tale,https://www.imdb.com/title/tt5834204/,tvSeries,8.5,60,2017,"Drama, Sci-Fi, Thriller",165792,2017-04-24,
65,tt7569592,2019-10-10,2019-10-10,,Chilling Adventures of Sabrina,https://www.imdb.com/title/tt7569592/,tvSeries,7.6,60,2018,"Drama, Fantasy, Horror, Mystery, Thriller",70614,2018-10-05,
66,tt6470478,2019-10-10,2019-10-10,,The Good Doctor,https://www.imdb.com/title/tt6470478/,tvSeries,8.2,41,2017,Drama,60285,2017-09-25,
67,tt3566726,2019-10-10,2019-10-10,,Jane the Virgin,https://www.imdb.com/title/tt3566726/,tvSeries,7.8,60,2014,Comedy,37640,2014-10-13,
68,tt1327801,2019-10-10,2019-10-10,,Glee,https://www.imdb.com/title/tt1327801/,tvSeries,6.7,44,2009,"Comedy, Drama, Music, Musical",135381,2009-05-19,
69,tt0121955,2019-10-10,2019-10-10,,South Park,https://www.imdb.com/title/tt0121955/,tvSeries,8.7,22,1997,"Animation, Comedy",327736,1997-08-13,
70,tt2467372,2019-10-10,2019-10-10,,Brooklyn Nine-Nine,https://www.imdb.com/title/tt2467372/,tvSeries,8.4,22,2013,"Comedy, Crime",214470,2013-09-17,
71,tt1553656,2019-10-10,2019-10-10,,Under the Dome,https://www.imdb.com/title/tt1553656/,tvSeries,6.6,43,2013,"Drama, Mystery, Sci-Fi, Thriller",100553,2013-06-24,
72,tt1312171,2019-10-10,2019-10-10,,The Umbrella Academy,https://www.imdb.com/title/tt1312171/,tvSeries,8.0,60,2019,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",148545,2019-02-15,
73,tt2356777,2019-10-10,2019-10-10,,True Detective,https://www.imdb.com/title/tt2356777/,tvSeries,9.0,55,2014,"Crime, Drama, Mystery, Thriller",491169,2014-01-12,
74,tt4635282,2019-10-10,2019-10-10,,The OA,https://www.imdb.com/title/tt4635282/,tvSeries,7.8,60,2016,"Drama, Fantasy, Mystery, Sci-Fi",88610,2016-12-16,
75,tt0410975,2019-10-10,2019-10-10,,Desperate Housewives,https://www.imdb.com/title/tt0410975/,tvSeries,7.5,45,2004,"Comedy, Drama, Mystery, Romance",114144,2004-10-03,
76,tt3032476,2019-10-10,2019-10-10,,Better Call Saul,https://www.imdb.com/title/tt3032476/,tvSeries,8.7,46,2015,"Crime, Drama",313736,2015-02-08,
77,tt2188671,2019-10-10,2019-10-10,,Bates Motel,https://www.imdb.com/title/tt2188671/,tvSeries,8.1,45,2013,"Drama, Horror, Mystery, Thriller",95801,2013-03-18,
78,tt5675620,2019-10-10,2019-10-10,,The Punisher,https://www.imdb.com/title/tt5675620/,tvSeries,8.5,53,2017,"Action, Crime, Drama, Thriller",179569,2017-11-06,
79,tt6315640,2019-10-10,2019-10-10,,Atypical,https://www.imdb.com/title/tt6315640/,tvSeries,8.3,30,2017,"Comedy, Drama",57290,2017-08-11,
80,tt6128300,2019-10-10,2019-10-10,,Dynasty,https://www.imdb.com/title/tt6128300/,tvSeries,7.3,42,2017,Drama,14202,2017-10-11,
81,tt5555260,2019-10-10,2019-10-10,,This Is Us,https://www.imdb.com/title/tt5555260/,tvSeries,8.7,45,2016,"Comedy, Drama, Romance",101070,2016-09-20,
82,tt4955642,2019-10-10,2019-10-10,,The Good Place,https://www.imdb.com/title/tt4955642/,tvSeries,8.2,22,2016,"Comedy, Drama, Fantasy, Romance",108854,2016-09-19,
83,tt3322310,2019-10-10,2019-10-10,,Iron Fist,https://www.imdb.com/title/tt3322310/,tvSeries,6.5,55,2017,"Action, Adventure, Crime, Fantasy, Sci-Fi",112981,2017-03-15,
84,tt6656238,2019-10-10,2019-10-10,,The Rain,https://www.imdb.com/title/tt6656238/,tvSeries,6.3,45,2018,"Drama, Sci-Fi, Thriller",29744,2018-05-04,
85,tt5290382,2019-10-10,2019-10-10,,Mindhunter,https://www.imdb.com/title/tt5290382/,tvSeries,8.6,60,2017,"Crime, Drama, Thriller",207612,2017-10-13,
86,tt1837642,2019-10-10,2019-10-10,,Revenge,https://www.imdb.com/title/tt1837642/,tvSeries,7.8,44,2011,"Drama, Mystery, Thriller",111707,2011-09-21,
87,tt3322314,2019-10-10,2019-10-10,,Luke Cage,https://www.imdb.com/title/tt3322314/,tvSeries,7.3,55,2016,"Action, Crime, Drama, Sci-Fi, Thriller",115293,2016-09-28,
88,tt1837576,2019-10-10,2019-10-10,,Scandal,https://www.imdb.com/title/tt1837576/,tvSeries,7.7,43,2012,"Drama, Thriller",66690,2012-04-05,
89,tt4230076,2019-10-10,2019-10-10,,The Defenders,https://www.imdb.com/title/tt4230076/,tvMiniSeries,7.3,50,2017,"Action, Adventure, Crime, Fantasy, Sci-Fi",89062,2017-07-22,
90,tt3920596,2019-10-10,2019-10-10,,Big Little Lies,https://www.imdb.com/title/tt3920596/,tvSeries,8.5,60,2017,"Crime, Drama, Mystery",150286,2017-02-07,
91,tt6487482,2019-10-10,2019-10-10,,Insatiable,https://www.imdb.com/title/tt6487482/,tvSeries,6.5,45,2018,"Comedy, Drama, Thriller",21972,2018-08-10,
92,tt1196946,2019-10-10,2019-10-10,,The Mentalist,https://www.imdb.com/title/tt1196946/,tvSeries,8.1,43,2008,"Crime, Drama, Mystery, Thriller",163411,2008-09-23,
93,tt4786824,2019-10-10,2019-10-10,,The Crown,https://www.imdb.com/title/tt4786824/,tvSeries,8.7,58,2016,"Biography, Drama, History",130846,2016-11-01,
94,tt7366338,2019-10-10,2019-10-10,,Chernobyl,https://www.imdb.com/title/tt7366338/,tvMiniSeries,9.4,330,2019,"Drama, History, Thriller",515338,2019-05-06,
95,tt3501584,2019-10-10,2019-10-10,,iZombie,https://www.imdb.com/title/tt3501584/,tvSeries,7.8,42,2015,"Comedy, Crime, Drama, Horror",59689,2015-03-17,
96,tt2710394,2019-10-10,2019-10-10,,Reign,https://www.imdb.com/title/tt2710394/,tvSeries,7.5,42,2013,"Drama, Fantasy",42839,2013-10-17,
97,tt4834206,2019-10-10,2019-10-10,,A Series of Unfortunate Events,https://www.imdb.com/title/tt4834206/,tvSeries,7.8,50,2017,"Adventure, Comedy, Drama, Family, Mystery",52979,2017-01-11,
98,tt0452046,2019-10-10,2019-10-10,,Criminal Minds,https://www.imdb.com/title/tt0452046/,tvSeries,8.1,42,2005,"Crime, Drama, Mystery, Thriller",157083,2005-09-22,
99,tt3921180,2019-10-10,2019-10-10,,Scream: The TV Series,https://www.imdb.com/title/tt3921180/,tvSeries,7.2,45,2015,"Crime, Drama, Horror, Mystery, Thriller",33612,2015-06-30,
100,tt6763664,2019-10-10,2019-10-10,,The Haunting of Hill House,https://www.imdb.com/title/tt6763664/,tvMiniSeries,8.6,572,2018,"Drama, Horror, Mystery, Thriller",175403,2018-10-07,
